('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.548):('pos', 0.452):('compound', 0.765)
('neg', 0.15):('neu', 0.6):('pos', 0.25):('compound', 0.5647)
('neg', 0.44):('neu', 0.267):('pos', 0.293):('compound', -0.0258)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.333):('neu', 0.667):('pos', 0.0):('compound', -0.3612)
('neg', 0.0):('neu', 0.707):('pos', 0.293):('compound', 0.4404)
('neg', 0.265):('neu', 0.735):('pos', 0.0):('compound', -0.3818)
('neg', 0.064):('neu', 0.792):('pos', 0.144):('compound', 0.3818)
('neg', 0.216):('neu', 0.597):('pos', 0.187):('compound', -0.1027)
('neg', 0.0):('neu', 0.233):('pos', 0.767):('compound', 0.5106)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.213):('neu', 0.319):('pos', 0.468):('compound', 0.34)
('neg', 0.833):('neu', 0.167):('pos', 0.0):('compound', -0.6124)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.15):('neu', 0.85):('pos', 0.0):('compound', -0.3182)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.183):('neu', 0.534):('pos', 0.282):('compound', 0.3182)
('neg', 0.0):('neu', 0.863):('pos', 0.137):('compound', 0.2263)
('neg', 0.367):('neu', 0.633):('pos', 0.0):('compound', -0.4404)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.262):('neu', 0.467):('pos', 0.271):('compound', 0.0258)
('neg', 0.459):('neu', 0.541):('pos', 0.0):('compound', -0.5256)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 1.0):('neu', 0.0):('pos', 0.0):('compound', -0.4404)
('neg', 0.0):('neu', 0.674):('pos', 0.326):('compound', 0.4404)
('neg', 0.744):('neu', 0.256):('pos', 0.0):('compound', -0.4404)
('neg', 1.0):('neu', 0.0):('pos', 0.0):('compound', -0.4767)
('neg', 0.0):('neu', 0.669):('pos', 0.331):('compound', 0.753)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.645):('neu', 0.215):('pos', 0.14):('compound', -0.6908)
('neg', 0.0):('neu', 0.345):('pos', 0.655):('compound', 0.2263)
('neg', 0.0):('neu', 0.707):('pos', 0.293):('compound', 0.4404)
('neg', 0.396):('neu', 0.604):('pos', 0.0):('compound', -0.7096)
('neg', 0.4):('neu', 0.6):('pos', 0.0):('compound', -0.7184)
('neg', 0.145):('neu', 0.753):('pos', 0.102):('compound', -0.2023)
('neg', 0.0):('neu', 0.654):('pos', 0.346):('compound', 0.5719)
('neg', 0.246):('neu', 0.664):('pos', 0.09):('compound', -0.6124)
('neg', 0.117):('neu', 0.567):('pos', 0.316):('compound', 0.5859)
('neg', 0.0):('neu', 0.824):('pos', 0.176):('compound', 0.5927)
('neg', 0.197):('neu', 0.636):('pos', 0.167):('compound', -0.121)
('neg', 0.0):('neu', 0.837):('pos', 0.163):('compound', 0.2846)
('neg', 0.0):('neu', 0.602):('pos', 0.398):('compound', 0.5106)
('neg', 0.0):('neu', 0.256):('pos', 0.744):('compound', 0.4404)
('neg', 0.0):('neu', 0.777):('pos', 0.223):('compound', 0.3182)
('neg', 0.0):('neu', 0.786):('pos', 0.214):('compound', 0.4588)
('neg', 0.157):('neu', 0.843):('pos', 0.0):('compound', -0.4201)
('neg', 0.0):('neu', 0.357):('pos', 0.643):('compound', 0.2023)
('neg', 0.0):('neu', 0.759):('pos', 0.241):('compound', 0.5789)
('neg', 0.231):('neu', 0.769):('pos', 0.0):('compound', -0.2732)
('neg', 0.0):('neu', 0.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.612):('pos', 0.388):('compound', 0.2263)
('neg', 0.0):('neu', 0.612):('pos', 0.388):('compound', 0.2263)
('neg', 0.508):('neu', 0.492):('pos', 0.0):('compound', -0.7351)
('neg', 0.0):('neu', 0.0):('pos', 1.0):('compound', 0.5719)
('neg', 0.145):('neu', 0.791):('pos', 0.064):('compound', -0.2144)
('neg', 0.284):('neu', 0.716):('pos', 0.0):('compound', -0.631)
('neg', 0.0):('neu', 0.761):('pos', 0.239):('compound', 0.5256)
('neg', 0.461):('neu', 0.539):('pos', 0.0):('compound', -0.7717)
('neg', 0.277):('neu', 0.495):('pos', 0.228):('compound', -0.128)
('neg', 0.183):('neu', 0.533):('pos', 0.284):('compound', 0.1779)
('neg', 0.181):('neu', 0.761):('pos', 0.058):('compound', -0.5025)
('neg', 0.088):('neu', 0.756):('pos', 0.155):('compound', 0.3818)
('neg', 0.0):('neu', 0.667):('pos', 0.333):('compound', 0.6124)
('neg', 0.293):('neu', 0.707):('pos', 0.0):('compound', -0.4404)
('neg', 0.0):('neu', 0.0):('pos', 0.0):('compound', 0.0)
('neg', 0.072):('neu', 0.58):('pos', 0.348):('compound', 0.7677)
('neg', 0.0):('neu', 0.649):('pos', 0.351):('compound', 0.7964)
('neg', 0.156):('neu', 0.844):('pos', 0.0):('compound', -0.34)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.26):('neu', 0.628):('pos', 0.112):('compound', -0.5106)
('neg', 0.381):('neu', 0.619):('pos', 0.0):('compound', -0.4728)
('neg', 0.19):('neu', 0.553):('pos', 0.257):('compound', 0.3796)
('neg', 0.047):('neu', 0.694):('pos', 0.259):('compound', 0.6997)
('neg', 0.145):('neu', 0.498):('pos', 0.357):('compound', 0.7964)
('neg', 0.211):('neu', 0.789):('pos', 0.0):('compound', -0.34)
('neg', 0.0):('neu', 0.526):('pos', 0.474):('compound', 0.2023)
('neg', 1.0):('neu', 0.0):('pos', 0.0):('compound', -0.4215)
('neg', 0.4):('neu', 0.6):('pos', 0.0):('compound', -0.6532)
('neg', 0.0):('neu', 0.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.0):('pos', 0.0):('compound', 0.0)
('neg', 0.306):('neu', 0.694):('pos', 0.0):('compound', -0.5267)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.435):('pos', 0.565):('compound', 0.6369)
('neg', 0.0):('neu', 0.421):('pos', 0.579):('compound', 0.8051)
('neg', 0.0):('neu', 0.685):('pos', 0.315):('compound', 0.3182)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.838):('pos', 0.162):('compound', 0.4404)
